City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Lorengau,PG,81.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
458,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
460,Port-Gentil,GA,80.62,clear sky,-0.7193,8.7815,Fengshui Residence
462,Sao Filipe,CV,75.13,clear sky,14.8961,-24.4956,Hotel Xaguate
464,Srandakan,ID,76.51,overcast clouds,-7.9386,110.2506,Puri Brata
467,Xaxim,BR,80.98,few clouds,-26.9617,-52.5347,Hotel São Luiz
477,Sao Jose Dos Campos,BR,84.69,scattered clouds,-23.1794,-45.8869,Polo Hotel
480,Ancud,CL,78.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
485,Vila Do Maio,CV,81.39,clear sky,15.1333,-23.2167,Hotel Marilu
487,Puerto Colombia,CO,89.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
490,Palauig,PH,77.41,few clouds,15.435,119.9045,Alperi Botique Resort
491,Axim,GH,81.84,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
494,Saint-Pierre,RE,80.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
497,Manzanillo,CU,86.14,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
499,Chirongui,YT,82.33,broken clouds,-12.9319,45.1483,La Villa Mahatsara
507,Negara,ID,76.96,light rain,-8.3151,114.6025,Villa Maya West Bali
508,Marrakesh,MA,75.27,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
516,Lamu,KE,80.82,broken clouds,-2.2717,40.902,Lamu House
517,Oranjestad,AW,78.93,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
524,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
527,Luanda,AO,78.67,broken clouds,-8.8368,13.2343,Hotel Fórum
529,Ecoporanga,BR,85.01,scattered clouds,-18.3733,-40.8306,Ecoporanga - Esp. Santo - Pousada Tranquila
530,Honiara,SB,78.58,overcast clouds,-9.4333,159.95,Heritage Park Hotel
545,Zirandaro,MX,87.78,clear sky,18.45,-100.9833,Hotel Pineda
552,Kribi,CM,82.09,few clouds,2.95,9.9167,La Grace Hôtel
553,Sri Aman,MY,75.25,very heavy rain,1.2376,111.4621,Seri Simanggang Hotel
564,Itapaci,BR,82.06,overcast clouds,-14.9508,-49.5494,Gold Pallace Hotel
570,Borba,BR,84.09,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
580,Moindou,NC,75.15,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
582,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
586,Manokwari,ID,77.58,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
587,Los Banos,PH,77.81,overcast clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
596,Coruripe,BR,86.27,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
606,Bellary,IN,77.31,scattered clouds,15.15,76.9333,Hotel Pawan
615,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
619,Hambantota,LK,76.32,overcast clouds,6.1241,81.1185,Bungalow 63
622,Ballitoville,ZA,76.24,light rain,-29.539,31.2144,Hampshire Hotel-Ballito
626,Kagoro,NG,86.77,few clouds,9.6,8.3833,Palm Garden Hotel
627,Amahai,ID,78.24,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
641,Pozo Colorado,PY,92.97,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
642,Nabire,ID,75.92,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
644,Crixas,BR,82.0,overcast clouds,-14.5489,-49.9692,RISO HOTEL
648,Bac Lieu,VN,79.07,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
653,Calama,CL,75.69,few clouds,-22.4667,-68.9333,Diego De Almagro Calama
662,Leo,BF,94.66,clear sky,11.1,-2.1,Hotel Sissilis
664,Coello,CO,75.38,broken clouds,4.2891,-74.8982,Casa
665,Jardim,BR,87.48,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
681,Koudougou,BF,92.66,clear sky,12.25,-2.3667,VAREK OCADES
685,Nouakchott,MR,85.93,clear sky,18.0858,-15.9785,HOTEL IMAN
689,Jatiroto,ID,75.07,overcast clouds,-7.8833,111.1167,Mushola Al Huda
690,Camana,PE,75.15,broken clouds,-16.6228,-72.7111,Hostal Morales
692,Kantunilkin,MX,75.04,broken clouds,21.0917,-87.45,Posada Paraiso
693,Palu,ID,75.87,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
696,Imbituba,BR,84.09,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
