City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
181,Noumea,-22.2763,166.4572,75.18,90,100,3.24,NC,2022-02-06 17:11:10,overcast clouds
182,East London,-33.0153,27.9116,75.67,80,4,23.53,ZA,2022-02-06 17:10:20,clear sky
183,Padang,-0.9492,100.3543,77.92,75,100,2.64,ID,2022-02-06 17:11:11,moderate rain
184,Lebu,-37.6167,-73.65,67.19,61,0,13.6,CL,2022-02-06 17:11:11,clear sky
185,Gat,31.61,34.7642,56.08,82,37,4.83,IL,2022-02-06 17:11:12,scattered clouds
186,Mayo,38.8876,-76.5119,35.71,42,0,4.0,US,2022-02-06 17:10:46,clear sky
187,Douentza,14.9951,-2.9517,87.08,7,0,6.51,ML,2022-02-06 17:12:12,clear sky
188,Saint-Philippe,-21.3585,55.7679,80.19,81,99,15.7,RE,2022-02-06 17:12:12,overcast clouds
189,Lakes Entrance,-37.8811,147.981,52.16,90,4,6.98,AU,2022-02-06 17:12:13,clear sky
190,Cayenne,4.9333,-52.3333,82.09,83,100,5.01,GF,2022-02-06 17:12:13,overcast clouds
191,Muravlenko,63.7898,74.523,-16.67,100,70,6.93,RU,2022-02-06 17:12:13,broken clouds
192,Puerto Del Rosario,28.5004,-13.8627,67.75,77,3,18.41,ES,2022-02-06 17:12:14,clear sky
193,Naze,28.3667,129.4833,51.71,65,100,11.3,JP,2022-02-06 17:09:22,overcast clouds
194,Cidreira,-30.1811,-50.2056,81.48,51,18,12.66,BR,2022-02-06 17:09:10,few clouds
195,Beyneu,45.3167,55.2,28.2,76,69,8.81,KZ,2022-02-06 17:09:45,broken clouds
196,Georgetown,5.4112,100.3354,78.73,94,40,1.14,MY,2022-02-06 17:09:27,scattered clouds
197,Sorland,67.667,12.6934,35.46,62,100,17.63,NO,2022-02-06 17:12:15,overcast clouds
198,West Bay,19.3667,-81.4167,83.07,65,20,1.99,KY,2022-02-06 17:12:15,few clouds
199,Kaitangata,-46.2817,169.8464,45.93,85,5,2.48,NZ,2022-02-06 17:12:15,clear sky
200,Dondaicha,21.3333,74.5667,75.49,21,4,5.3,IN,2022-02-06 17:12:16,clear sky
201,Arman,59.7,150.1667,-1.34,72,22,11.27,RU,2022-02-06 17:12:16,few clouds
202,Fort Nelson,58.8053,-122.7002,16.27,93,45,0.85,CA,2022-02-06 17:12:17,scattered clouds
203,Balkanabat,39.5108,54.3671,40.57,60,73,2.21,TM,2022-02-06 17:09:11,broken clouds
204,Sao Jose Da Coroa Grande,-8.8978,-35.1478,85.84,56,85,11.43,BR,2022-02-06 17:12:17,overcast clouds
205,Nemuro,43.3236,145.575,22.84,74,60,18.48,JP,2022-02-06 17:12:17,broken clouds
206,Karpathos,35.507,27.2132,57.16,67,20,10.36,GR,2022-02-06 17:12:18,few clouds
207,Pacific Grove,36.6177,-121.9166,58.44,65,0,1.01,US,2022-02-06 17:12:18,clear sky
208,Los Llanos De Aridane,28.6585,-17.9182,66.13,65,20,18.99,ES,2022-02-06 17:12:18,few clouds
209,Thinadhoo,0.5333,72.9333,82.76,69,7,11.14,MV,2022-02-06 17:12:19,clear sky
210,Gwadar,25.1216,62.3254,72.19,82,0,11.48,PK,2022-02-06 17:12:19,clear sky
211,Jacmel,18.2342,-72.5347,85.84,54,0,6.58,HT,2022-02-06 17:12:20,clear sky
212,Rabo De Peixe,37.8,-25.5833,63.28,90,75,16.11,PT,2022-02-06 17:12:20,broken clouds
213,Laibin,23.7,109.2667,51.03,90,100,4.83,CN,2022-02-06 17:12:20,overcast clouds
214,Luau,-10.7073,22.2247,67.75,83,84,5.1,AO,2022-02-06 17:12:21,broken clouds
215,Glenluce,54.8798,-4.8084,41.29,69,85,33.2,GB,2022-02-06 17:12:21,overcast clouds
216,Necochea,-38.5473,-58.7368,63.03,74,95,19.86,AR,2022-02-06 17:10:14,overcast clouds
217,Pokaran,26.9167,71.9167,68.97,29,0,8.03,IN,2022-02-06 17:12:22,clear sky
218,Zhengjiatun,43.5064,123.5064,4.8,83,5,7.07,CN,2022-02-06 17:12:22,clear sky
219,Porbandar,21.6422,69.6093,68.76,64,14,8.52,IN,2022-02-06 17:12:22,few clouds
220,Adrar,20.5022,-10.0711,83.46,6,0,8.79,MR,2022-02-06 17:12:23,clear sky
221,Boda,4.3189,17.4695,85.37,19,54,3.96,CF,2022-02-06 17:12:23,broken clouds
222,Thompson,55.7435,-97.8558,-12.42,90,17,4.18,CA,2022-02-06 17:09:49,few clouds
223,Flin Flon,54.7682,-101.865,-6.29,95,88,8.08,CA,2022-02-06 17:12:24,overcast clouds
224,San Quintin,30.4833,-115.95,60.62,32,1,0.58,MX,2022-02-06 17:12:24,clear sky
225,Phaltan,17.9833,74.4333,71.6,41,98,6.76,IN,2022-02-06 17:12:24,overcast clouds
